EQP_ID,ALARM_TIME,SEVERITY,MESSAGE,RECIPE,ACK_BY
ETC02,2026-03-02 06:02:56,WARN,"[W-3305] Slurry flow low (LOT=L26092, STEP=RMG, value=24.57 unit)",RCP_RMG_05,E965156
CMP02,2026-03-02 06:14:45,WARN,"[W-3305] Slurry flow low (LOT=L26039, STEP=RMG, value=5.18 unit)",RCP_RMG_05,E363666
CMP02,2026-03-02 06:22:41,WARN,"[W-3306] Pad temperature drift (LOT=L26061, STEP=RMG, value=5.18 unit)",RCP_RMG_05,E856703
ETC01,2026-03-02 06:24:23,ERROR,"[E-1023] Chamber pressure high (LOT=L26021, STEP=ETCH, value=23.64 unit)",RCP_ETCH_05,E622791
PC01,2026-03-02 06:27:18,WARN,"[W-3306] Pad temperature drift (LOT=L26003, STEP=CBCMP, value=4.38 unit)",RCP_CBCMP_01,
ETC01,2026-03-02 06:27:43,ERROR,"[E-2011] RF power unstable (LOT=L26105, STEP=ETCH, value=11.17 unit)",RCP_ETCH_04,
PHO01,2026-03-02 06:35:14,WARN,"[W-3305] Slurry flow low (LOT=L26119, STEP=ETCH, value=3.38 unit)",RCP_ETCH_02,E750892
PHO01,2026-03-02 06:36:22,WARN,"[W-3306] Pad temperature drift (LOT=L26067, STEP=ETCH, value=6.27 unit)",RCP_ETCH_01,
ETC02,2026-03-02 06:39:29,INFO,"[I-5000] Recipe changed by operator (LOT=L26085, STEP=PC, value=7.22 unit)",RCP_PC_04,E173555
PHO01,2026-03-02 07:00:15,WARN,"[W-3306] Pad temperature drift (LOT=L26083, STEP=ETCH, value=16.65 unit)",RCP_ETCH_03,
ETC01,2026-03-02 07:14:04,WARN,"[W-3305] Slurry flow low (LOT=L26024, STEP=PC, value=14.94 unit)",RCP_PC_01,
PC01,2026-03-02 07:16:52,WARN,"[W-3305] Slurry flow low (LOT=L26046, STEP=ETCH, value=10.3 unit)",RCP_ETCH_03,E884380
ETC02,2026-03-02 07:18:20,ERROR,"[E-1023] Chamber pressure high (LOT=L26002, STEP=CBCMP, value=21.32 unit)",RCP_CBCMP_04,
ETC02,2026-03-02 07:31:39,WARN,"[W-3305] Slurry flow low (LOT=L26021, STEP=PHOTO, value=22.08 unit)",RCP_PHOTO_04,E370843
PC01,2026-03-02 07:45:17,ERROR,"[E-2011] RF power unstable (LOT=L26085, STEP=PC, value=2.83 unit)",RCP_PC_05,
CMP02,2026-03-02 07:46:08,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26081, STEP=CBCMP, value=11.26 unit)",RCP_CBCMP_04,
PC01,2026-03-02 07:46:23,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26059, STEP=CBCMP, value=4.97 unit)",RCP_CBCMP_05,E584835
ETC01,2026-03-02 07:51:18,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26098, STEP=PHOTO, value=11.92 unit)",RCP_PHOTO_05,
CMP02,2026-03-02 07:55:05,INFO,"[I-5000] Recipe changed by operator (LOT=L26065, STEP=PHOTO, value=17.43 unit)",RCP_PHOTO_04,E505920
ETC01,2026-03-02 08:06:53,WARN,"[W-3306] Pad temperature drift (LOT=L26071, STEP=PHOTO, value=23.71 unit)",RCP_PHOTO_01,
PC01,2026-03-02 08:08:10,ERROR,"[E-1023] Chamber pressure high (LOT=L26005, STEP=PC, value=16.6 unit)",RCP_PC_01,E508083
CMP02,2026-03-02 08:14:25,ERROR,"[E-1023] Chamber pressure high (LOT=L26113, STEP=ETCH, value=7.6 unit)",RCP_ETCH_04,
PC01,2026-03-02 08:20:36,WARN,"[W-3306] Pad temperature drift (LOT=L26010, STEP=PHOTO, value=8.7 unit)",RCP_PHOTO_04,
PC01,2026-03-02 08:26:48,WARN,"[W-3305] Slurry flow low (LOT=L26007, STEP=ETCH, value=1.34 unit)",RCP_ETCH_01,
ETC02,2026-03-02 08:33:38,INFO,"[I-5000] Recipe changed by operator (LOT=L26043, STEP=ETCH, value=4.05 unit)",RCP_ETCH_03,
PC01,2026-03-02 08:38:27,ERROR,"[E-2011] RF power unstable (LOT=L26072, STEP=CBCMP, value=8.83 unit)",RCP_CBCMP_03,E787608
PC01,2026-03-02 08:46:45,WARN,"[W-3305] Slurry flow low (LOT=L26001, STEP=CBCMP, value=2.56 unit)",RCP_CBCMP_02,
PHO01,2026-03-02 08:57:15,ERROR,"[E-1023] Chamber pressure high (LOT=L26006, STEP=RMG, value=16.32 unit)",RCP_RMG_01,
CMP02,2026-03-02 09:00:58,WARN,"[W-3306] Pad temperature drift (LOT=L26101, STEP=PC, value=4.66 unit)",RCP_PC_05,
CMP02,2026-03-02 09:21:02,INFO,"[I-5000] Recipe changed by operator (LOT=L26017, STEP=CBCMP, value=2.35 unit)",RCP_CBCMP_04,
ETC02,2026-03-02 09:22:52,WARN,"[W-3305] Slurry flow low (LOT=L26063, STEP=ETCH, value=13.87 unit)",RCP_ETCH_01,
ETC01,2026-03-02 09:47:43,ERROR,"[E-2011] RF power unstable (LOT=L26040, STEP=ETCH, value=7.45 unit)",RCP_ETCH_04,
PC01,2026-03-02 09:50:17,WARN,"[W-3306] Pad temperature drift (LOT=L26013, STEP=RMG, value=20.62 unit)",RCP_RMG_05,
ETC01,2026-03-02 09:52:16,ERROR,"[E-2011] RF power unstable (LOT=L26075, STEP=CBCMP, value=8.32 unit)",RCP_CBCMP_04,
CMP01,2026-03-02 09:59:17,ERROR,"[E-1023] Chamber pressure high (LOT=L26058, STEP=RMG, value=24.19 unit)",RCP_RMG_02,E842466
CMP02,2026-03-02 10:03:50,ERROR,"[E-2011] RF power unstable (LOT=L26098, STEP=CBCMP, value=13.11 unit)",RCP_CBCMP_03,
CMP02,2026-03-02 10:17:48,WARN,"[W-3306] Pad temperature drift (LOT=L26094, STEP=RMG, value=22.23 unit)",RCP_RMG_05,E212076
ETC02,2026-03-02 10:18:44,WARN,"[W-3305] Slurry flow low (LOT=L26056, STEP=PHOTO, value=4.33 unit)",RCP_PHOTO_02,
PHO01,2026-03-02 10:21:31,WARN,"[W-3305] Slurry flow low (LOT=L26068, STEP=RMG, value=14.05 unit)",RCP_RMG_03,
ETC02,2026-03-02 10:21:50,WARN,"[W-3306] Pad temperature drift (LOT=L26032, STEP=RMG, value=19.36 unit)",RCP_RMG_03,
ETC01,2026-03-02 10:33:32,INFO,"[I-5000] Recipe changed by operator (LOT=L26018, STEP=ETCH, value=8.54 unit)",RCP_ETCH_02,E581518
CMP01,2026-03-02 10:50:09,ERROR,"[E-1023] Chamber pressure high (LOT=L26039, STEP=PHOTO, value=6.68 unit)",RCP_PHOTO_05,E644735
CMP01,2026-03-02 11:10:04,WARN,"[W-3306] Pad temperature drift (LOT=L26060, STEP=PC, value=24.3 unit)",RCP_PC_04,
PHO01,2026-03-02 11:25:21,ERROR,"[E-1023] Chamber pressure high (LOT=L26002, STEP=ETCH, value=20.35 unit)",RCP_ETCH_03,
ETC02,2026-03-02 11:52:22,ERROR,"[E-2011] RF power unstable (LOT=L26109, STEP=PHOTO, value=18.72 unit)",RCP_PHOTO_03,
PC01,2026-03-02 11:55:49,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26049, STEP=CBCMP, value=18.11 unit)",RCP_CBCMP_03,E397093
CMP02,2026-03-02 11:56:31,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26096, STEP=PHOTO, value=18.86 unit)",RCP_PHOTO_05,
CMP02,2026-03-02 12:04:35,WARN,"[W-3306] Pad temperature drift (LOT=L26009, STEP=PC, value=14.1 unit)",RCP_PC_02,
PC01,2026-03-02 12:05:12,ERROR,"[E-2011] RF power unstable (LOT=L26023, STEP=PC, value=3.94 unit)",RCP_PC_05,
CMP01,2026-03-02 12:17:36,WARN,"[W-3306] Pad temperature drift (LOT=L26105, STEP=RMG, value=8.2 unit)",RCP_RMG_01,E317168
PHO01,2026-03-02 12:20:02,ERROR,"[E-1023] Chamber pressure high (LOT=L26069, STEP=PHOTO, value=9.03 unit)",RCP_PHOTO_03,
PHO01,2026-03-02 12:31:24,ERROR,"[E-1023] Chamber pressure high (LOT=L26044, STEP=PC, value=5.33 unit)",RCP_PC_03,
PC01,2026-03-02 12:36:11,ERROR,"[E-1023] Chamber pressure high (LOT=L26006, STEP=RMG, value=18.74 unit)",RCP_RMG_04,
PC01,2026-03-02 12:43:29,ERROR,"[E-1023] Chamber pressure high (LOT=L26046, STEP=CBCMP, value=24.81 unit)",RCP_CBCMP_04,
CMP02,2026-03-02 13:17:24,WARN,"[W-3305] Slurry flow low (LOT=L26102, STEP=RMG, value=1.24 unit)",RCP_RMG_04,
ETC01,2026-03-02 13:23:02,INFO,"[I-5000] Recipe changed by operator (LOT=L26088, STEP=CBCMP, value=4.21 unit)",RCP_CBCMP_01,E683006
ETC02,2026-03-02 13:36:06,WARN,"[W-3306] Pad temperature drift (LOT=L26088, STEP=CBCMP, value=21.76 unit)",RCP_CBCMP_02,E399344
ETC01,2026-03-02 13:38:53,INFO,"[I-5000] Recipe changed by operator (LOT=L26066, STEP=PHOTO, value=8.06 unit)",RCP_PHOTO_01,
ETC01,2026-03-02 13:39:47,ERROR,"[E-1023] Chamber pressure high (LOT=L26113, STEP=RMG, value=19.87 unit)",RCP_RMG_04,E932792
PC01,2026-03-02 13:54:18,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26059, STEP=PHOTO, value=20.62 unit)",RCP_PHOTO_02,
CMP02,2026-03-02 13:55:37,ERROR,"[E-1023] Chamber pressure high (LOT=L26014, STEP=RMG, value=18.18 unit)",RCP_RMG_02,
ETC01,2026-03-02 13:56:55,ERROR,"[E-2011] RF power unstable (LOT=L26062, STEP=ETCH, value=17.86 unit)",RCP_ETCH_05,E252270
PC01,2026-03-02 14:25:41,ERROR,"[E-2011] RF power unstable (LOT=L26048, STEP=ETCH, value=1.01 unit)",RCP_ETCH_05,
