TIMESTAMP,EQP_ID,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020
2026-03-02 06:00:00,ETC01,57.234,44.81,47.055,46.631,47.022,48.678,,47.08,61.585,49.35,44.515,48.884,55.001,44.08,53.449,52.166,42.889,39.797,42.652,50.176
2026-03-02 06:30:00,ETC01,57.345,44.723,47.075,46.646,47.09,48.609,46.46,47.066,61.721,49.243,44.579,49.001,54.952,43.976,53.44,52.122,,39.761,42.682,50.234
2026-03-02 07:00:00,ETC01,57.411,44.725,47.067,46.727,47.039,48.622,46.458,47.034,61.805,49.243,44.661,49.031,54.854,44.03,53.392,52.149,42.905,39.73,42.667,50.175
2026-03-02 07:30:00,ETC01,57.266,44.665,47.002,46.663,47.066,48.594,46.527,47.026,61.877,49.287,44.631,49.042,54.871,44.03,53.43,52.102,42.845,39.685,42.676,50.043
2026-03-02 08:00:00,ETC01,57.176,44.673,46.958,46.696,47.101,48.582,46.373,47.044,61.972,49.313,44.59,49.133,54.873,44.001,53.488,52.238,42.863,39.586,42.684,50.026
2026-03-02 08:30:00,ETC01,57.234,44.764,46.983,46.802,47.138,48.59,46.44,47.056,61.953,49.367,44.54,49.078,54.829,43.988,53.499,52.317,42.819,39.659,42.673,50.017
2026-03-02 09:00:00,ETC01,57.295,44.763,46.858,46.76,47.112,48.645,46.484,47.032,61.973,49.387,44.553,49.091,54.865,43.917,53.544,52.344,42.757,39.681,42.706,50.057
2026-03-02 09:30:00,ETC01,57.324,44.802,46.875,46.824,47.042,48.668,46.409,46.997,61.947,49.407,44.524,49.126,54.834,43.875,53.534,52.378,42.719,39.725,42.828,50.086
2026-03-02 10:00:00,ETC01,57.495,44.774,46.811,46.785,46.995,48.741,46.407,46.872,62.018,49.5,44.516,49.089,54.864,43.887,53.609,52.272,42.741,39.739,42.908,50.109
2026-03-02 10:30:00,ETC01,57.48,44.762,46.842,46.779,47.074,48.82,46.413,46.852,62.049,49.466,44.443,49.156,54.844,43.802,53.595,52.237,42.701,39.794,42.874,50.008
2026-03-02 11:00:00,ETC01,57.501,44.849,46.812,46.737,47.074,48.792,46.385,46.904,62.073,49.489,44.478,49.182,54.749,43.738,53.597,52.187,42.694,39.831,42.809,49.942
2026-03-02 11:30:00,ETC01,57.517,44.801,46.87,46.672,47.037,48.729,46.287,46.811,62.054,49.479,44.515,49.239,54.887,43.856,53.509,52.226,42.663,39.799,42.821,49.945
2026-03-02 12:00:00,ETC01,57.636,44.747,46.868,46.619,47.123,48.716,46.335,46.864,62.021,49.474,44.614,49.263,54.859,43.852,53.642,52.166,42.66,39.84,42.811,49.96
2026-03-02 12:30:00,ETC01,57.689,44.805,46.862,46.65,47.161,48.706,46.435,46.905,61.884,49.515,44.643,49.35,54.858,43.941,53.728,52.164,42.669,39.809,42.732,49.888
2026-03-02 13:00:00,ETC01,57.676,44.744,46.891,46.652,47.217,48.66,46.379,46.893,61.818,49.573,44.601,49.429,54.892,43.849,53.798,52.288,42.739,39.802,42.743,49.864
2026-03-02 13:30:00,ETC01,57.626,44.799,46.844,46.661,47.303,48.6,46.405,46.879,61.834,49.532,44.738,49.329,54.867,43.839,53.754,52.3,42.778,39.714,42.702,49.836
2026-03-02 14:00:00,ETC01,57.56,44.867,46.799,46.752,47.246,48.574,46.436,46.833,61.846,49.599,44.783,49.354,54.755,43.854,53.767,52.263,42.806,39.602,42.697,49.852
2026-03-02 14:30:00,ETC01,57.599,44.916,46.843,46.803,47.207,48.52,46.393,46.845,61.88,49.583,44.761,49.434,54.674,43.87,53.738,52.163,42.79,39.595,42.829,49.891
2026-03-02 15:00:00,ETC01,57.727,44.917,46.845,46.765,47.088,48.523,46.337,46.838,61.879,49.627,44.848,49.452,54.662,43.91,53.658,52.072,42.785,39.545,42.773,49.762
2026-03-02 15:30:00,ETC01,57.731,44.859,46.886,46.803,47.125,48.433,46.298,46.689,61.951,49.644,44.825,49.427,54.608,44.016,53.728,52.054,42.77,39.482,42.866,49.785
2026-03-02 16:00:00,ETC01,57.639,44.86,46.927,46.802,47.115,48.44,46.329,46.714,61.921,49.625,44.893,49.383,54.601,43.998,53.738,52.056,42.753,39.474,42.789,49.827
2026-03-02 16:30:00,ETC01,57.566,44.826,46.886,46.817,47.106,48.446,46.299,46.772,61.966,49.593,44.935,49.475,54.559,43.996,53.711,52.108,42.792,39.584,42.884,49.79
2026-03-02 17:00:00,ETC01,57.49,44.811,46.933,46.788,47.12,48.531,46.308,46.77,61.962,,44.971,49.405,54.582,43.991,53.623,52.163,42.794,39.587,42.83,49.691
2026-03-02 17:30:00,ETC01,57.565,44.816,46.913,46.75,47.079,48.486,46.232,46.758,62.0,49.612,44.967,49.457,54.546,44.124,53.413,52.07,42.792,39.493,42.922,49.748
2026-03-02 18:00:00,ETC01,57.611,44.783,47.013,46.757,47.009,48.55,46.173,46.776,62.052,49.664,44.871,49.514,54.577,44.115,53.429,52.092,42.774,39.419,42.862,49.728
2026-03-02 18:30:00,ETC01,57.629,44.773,,46.706,46.975,48.526,46.164,46.849,62.015,49.705,44.872,49.482,54.558,43.94,53.434,52.036,42.657,39.358,42.803,49.716
2026-03-02 19:00:00,ETC01,57.601,44.818,46.983,46.792,47.002,48.472,46.205,46.783,62.047,49.686,44.939,49.397,54.535,44.09,53.451,52.07,42.614,39.418,42.82,49.721
2026-03-02 19:30:00,ETC01,57.511,44.731,47.079,46.847,46.969,48.546,46.271,46.877,61.963,49.766,45.019,49.439,54.524,44.111,53.37,52.126,42.617,39.474,42.877,49.679
