LOT_ID,JOIN_ID,WAFER_NO,STEP_DESC,EQP_ID,CHAMBER,MEAS_TIME,THICKNESS,CD,TEMP,PRESSURE,PARTICLE_CNT,SIZE_Y,IS_DEFECT,OPER_ID
L26108,L26108,1,PHOTO,PHO01,A,2026-03-02 06:04:42,87.458,31.587,238.61,12.291,5,1.198,FALSE,E571750
L26108,L26108,2,PHOTO,PHO01,A,2026-03-02 06:06:24,88.935,31.725,,11.607,3,,FALSE,E242482
L26108,L26108,3,PHOTO,PHO01,A,2026-03-02 06:08:06,88.313,31.822,236.92,11.817,4,1.786,FALSE,E648152
L26108,L26108,4,PHOTO,PHO01,A,2026-03-02 06:09:48,88.457,32.482,236.62,12.309,6,1.575,FALSE,E989979
L26108,L26108,5,PHOTO,PHO01,A,2026-03-02 06:11:30,88.305,31.139,238.1,11.293,0,1.527,FALSE,E633262
L26108,L26108,6,PHOTO,PHO01,A,2026-03-02 06:13:12,88.056,31.39,238.74,11.314,5,1.426,FALSE,E471180
L26108,L26108,7,PHOTO,PHO01,A,2026-03-02 06:14:54,88.357,32.57,235.43,12.0,4,,FALSE,E453590
L26108,L26108,8,PHOTO,PHO01,A,2026-03-02 06:16:36,87.617,32.069,233.55,11.577,3,1.159,FALSE,E123809
L26108,L26108,9,PHOTO,PHO01,A,2026-03-02 06:18:17,87.826,31.759,235.37,12.478,2,1.141,FALSE,E359086
L26108,L26108,10,PHOTO,PHO01,A,2026-03-02 06:20:00,88.046,32.165,232.47,12.232,1,1.722,FALSE,E899146
L26108,L26108,11,PHOTO,PHO01,A,2026-03-02 06:21:42,88.12,31.336,,11.478,6,1.604,FALSE,E188421
L26108,L26108,12,PHOTO,PHO01,A,2026-03-02 06:23:24,87.967,32.738,238.99,11.653,6,1.353,FALSE,E348997
L26108,L26108,13,PHOTO,PHO01,A,2026-03-02 06:25:05,89.491,31.545,233.74,12.466,3,1.358,FALSE,E497174
L26108,L26108,14,PHOTO,PHO01,A,2026-03-02 06:26:48,89.207,32.125,237.22,12.761,1,1.761,FALSE,E633325
L26108,L26108,15,PHOTO,PHO01,A,2026-03-02 06:28:30,,32.278,231.62,12.557,3,0.978,FALSE,E201025
L26108,L26108,16,PHOTO,PHO01,A,2026-03-02 06:30:12,89.256,31.589,244.03,12.049,1,1.621,FALSE,E930117
L26108,L26108,17,PHOTO,PHO01,A,2026-03-02 06:31:54,88.171,31.474,231.79,12.671,2,1.233,FALSE,E761925
L26108,L26108,18,PHOTO,PHO01,A,2026-03-02 06:33:35,88.841,32.166,233.14,12.831,5,1.359,FALSE,E738260
L26078,L26078,1,RMG,RMG01,B,2026-03-02 06:33:42,306.189,31.893,234.25,12.241,6,1.28,FALSE,E734710
L26108,L26108,19,PHOTO,PHO01,A,2026-03-02 06:35:17,90.138,31.717,229.74,11.962,4,1.401,FALSE,E204060
L26078,L26078,2,RMG,RMG01,B,2026-03-02 06:35:24,307.941,32.228,235.56,11.656,5,1.701,FALSE,E381012
L26108,L26108,20,PHOTO,PHO01,A,2026-03-02 06:37:00,89.755,32.412,240.75,11.473,2,1.043,FALSE,E264261
L26078,L26078,3,RMG,RMG01,B,2026-03-02 06:37:06,310.635,,232.04,11.78,5,1.236,FALSE,E429445
L26108,L26108,21,PHOTO,PHO01,A,2026-03-02 06:38:41,88.562,31.501,229.6,12.884,2,1.356,FALSE,E641335
L26108,L26108,21,PHOTO,PHO01,A,2026-03-02 06:38:41,88.562,31.501,229.6,12.884,2,1.356,FALSE,E641335
L26059,L26059,1,CBCMP,CMP01,C,2026-03-02 06:38:42,978.504,32.78,231.45,11.873,4,1.089,FALSE,E536745
L26078,L26078,4,RMG,RMG01,B,2026-03-02 06:38:48,311.284,32.341,235.43,11.68,3,1.404,FALSE,E800553
L26108,L26108,22,PHOTO,PHO01,A,2026-03-02 06:40:24,89.386,31.54,230.9,11.292,4,1.231,FALSE,E866022
L26059,L26059,2,CBCMP,CMP01,C,2026-03-02 06:40:24,986.879,32.74,234.44,11.99,4,1.218,FALSE,E238015
L26078,L26078,5,RMG,RMG01,B,2026-03-02 06:40:30,309.195,33.057,234.02,12.152,2,1.009,FALSE,E482041
L26059,L26059,3,CBCMP,CMP01,C,2026-03-02 06:42:06,977.833,31.798,243.78,11.791,4,1.286,FALSE,E152621
L26108,L26108,23,PHOTO,PHO01,A,2026-03-02 06:42:06,89.469,31.773,230.91,12.129,4,1.876,FALSE,E743932
L26078,L26078,6,RMG,RMG01,B,2026-03-02 06:42:12,,32.676,228.36,12.166,8,1.742,FALSE,E434541
L26108,L26108,24,PHOTO,PHO01,A,2026-03-02 06:43:48,88.42,32.743,232.14,12.018,5,1.239,FALSE,E218936
L26059,L26059,4,CBCMP,CMP01,C,2026-03-02 06:43:48,979.203,31.705,236.7,12.356,3,1.85,FALSE,E362062
L26078,L26078,7,RMG,RMG01,B,2026-03-02 06:43:54,306.201,31.887,242.79,12.32,3,1.847,FALSE,E108378
L26108,L26108,25,PHOTO,PHO01,A,2026-03-02 06:45:30,89.196,31.033,232.24,11.002,5,1.17,FALSE,E512817
L26059,L26059,5,CBCMP,CMP01,C,2026-03-02 06:45:30,983.159,31.977,,12.154,2,,FALSE,E554125
L26078,L26078,8,RMG,RMG01,B,2026-03-02 06:45:36,304.34,32.208,239.29,12.025,3,0.816,FALSE,E252640
L26078,L26078,8,RMG,RMG01,B,2026-03-02 06:45:36,304.34,32.208,239.29,12.025,3,0.816,FALSE,E252640
L26065,L26065,1,ETCH,ETC01,B,2026-03-02 06:45:42,143.887,31.765,230.44,11.979,2,,FALSE,E965023
L26059,L26059,6,CBCMP,CMP01,C,2026-03-02 06:47:12,974.731,31.969,236.12,12.316,2,1.327,FALSE,E618017
L26078,L26078,9,RMG,RMG01,B,2026-03-02 06:47:17,309.964,31.929,235.14,13.104,5,1.059,FALSE,E443495
L26065,L26065,2,ETCH,ETC01,B,2026-03-02 06:47:24,146.469,30.773,230.65,11.974,3,1.1,FALSE,E896982
L26059,L26059,7,CBCMP,CMP01,C,2026-03-02 06:48:54,970.251,32.125,244.84,12.654,4,1.275,FALSE,E413919
L26059,L26059,7,CBCMP,CMP01,C,2026-03-02 06:48:54,970.251,32.125,244.84,12.654,4,1.275,FALSE,E413919
L26078,L26078,10,RMG,RMG01,B,2026-03-02 06:49:00,311.517,32.43,235.2,12.03,3,1.13,FALSE,E156324
L26065,L26065,3,ETCH,ETC01,B,2026-03-02 06:49:06,145.302,32.512,230.92,12.624,3,1.476,FALSE,E882926
L26059,L26059,8,CBCMP,CMP01,C,2026-03-02 06:50:36,975.063,31.646,237.41,11.693,4,1.577,FALSE,E803491
L26078,L26078,11,RMG,RMG01,B,2026-03-02 06:50:42,310.969,31.913,230.17,11.922,6,0.73,FALSE,E462933
L26065,L26065,4,ETCH,ETC01,B,2026-03-02 06:50:48,144.692,32.573,239.59,11.623,6,1.316,FALSE,E141486
L26059,L26059,9,CBCMP,CMP01,C,2026-03-02 06:52:17,973.928,32.631,235.39,11.989,4,1.53,REAL,E262726
L26059,L26059,9,CBCMP,CMP01,C,2026-03-02 06:52:17,973.928,32.631,235.39,11.989,4,1.53,REAL,E262726
L26078,L26078,12,RMG,RMG01,B,2026-03-02 06:52:24,309.213,31.28,233.63,12.451,1,1.248,FALSE,E614682
L26065,L26065,5,ETCH,ETC01,B,2026-03-02 06:52:30,145.84,31.831,233.15,11.668,6,1.029,FALSE,E959979
L26059,L26059,10,CBCMP,CMP01,C,2026-03-02 06:54:00,988.362,32.441,238.36,0.0,4,,FALSE,E975400
L26078,L26078,13,RMG,RMG01,B,2026-03-02 06:54:05,308.448,32.009,235.43,12.054,4,1.147,FALSE,E479761
L26065,L26065,6,ETCH,ETC01,B,2026-03-02 06:54:12,144.581,32.111,235.31,12.008,4,1.337,FALSE,E632189
L26059,L26059,11,CBCMP,CMP01,C,2026-03-02 06:55:42,992.3,31.983,234.38,11.474,12,1.081,FALSE,E400384
L26078,L26078,14,RMG,RMG01,B,2026-03-02 06:55:48,306.464,32.304,236.04,12.013,3,1.255,FALSE,E519525
L26065,L26065,7,ETCH,ETC01,B,2026-03-02 06:55:54,145.648,32.644,236.65,11.16,1,1.497,FALSE,E948167
L26059,L26059,12,CBCMP,CMP01,C,2026-03-02 06:57:24,979.434,31.924,,11.933,4,1.048,FALSE,E740399
L26078,L26078,15,RMG,RMG01,B,2026-03-02 06:57:30,311.395,31.935,234.73,11.991,6,1.169,FALSE,E252852
L26065,L26065,8,ETCH,ETC01,B,2026-03-02 06:57:36,144.83,31.728,235.75,12.049,2,1.04,FALSE,E847366
L26078,L26078,16,RMG,RMG01,B,2026-03-02 06:59:12,305.896,31.45,235.48,11.937,1,1.306,FALSE,E955828
L26065,L26065,9,ETCH,ETC01,B,2026-03-02 06:59:17,145.197,32.433,236.55,11.675,4,1.345,FALSE,E417533
L26078,L26078,17,RMG,RMG01,B,2026-03-02 07:00:54,312.031,31.898,232.08,11.995,7,1.608,FALSE,E593169
L26065,L26065,10,ETCH,ETC01,B,2026-03-02 07:01:00,146.01,31.542,226.83,12.271,12,1.469,FALSE,E192980
L26078,L26078,18,RMG,RMG01,B,2026-03-02 07:02:35,305.965,32.093,229.63,11.671,5,0.69,FALSE,E511182
L26065,L26065,11,ETCH,ETC01,B,2026-03-02 07:02:42,145.506,31.854,236.78,12.004,5,1.323,FALSE,E139981
L26078,L26078,19,RMG,RMG01,B,2026-03-02 07:04:17,308.935,32.057,232.57,12.029,4,1.01,FALSE,E500814
L26065,L26065,12,ETCH,ETC01,B,2026-03-02 07:04:24,143.617,32.379,237.07,12.024,20,1.542,FALSE,E275755
L26078,L26078,20,RMG,RMG01,B,2026-03-02 07:06:00,309.29,31.61,236.61,11.709,5,0.724,FALSE,E429441
