EMP_ID,DEPT,JOB_ROLE,GRADE,COURSE,CATEGORY,PLAN_HOURS,DONE_HOURS,SCORE,COMPLETED_DATE
E606733,글로벌인프라총괄,영업마케팅,CL3,Spotfire 데이터함수(Python),데이터분석,16,8,85.0,2026-05-06
E274323,시스템LSI사업부,S/W개발,CL2,Spotfire 기초,데이터분석,8,8,,2026-01-17
E484034,파운드리사업부,회로설계,CL2,Python 기초,데이터분석,20,6,64.0,2026-02-25
E991242,시스템LSI사업부,품질보증,CL2,생성형 AI 활용,AI,6,4,84.0,2026-03-27
E748165,메모리사업부,품질보증,CL2,정보보호,필수,2,0,80.0,2026-02-03
E603013,글로벌인프라총괄,패키지개발,CL2,반도체 8대 공정,직무기초,24,12,84.0,2026-03-20
E695836,파운드리사업부,영업마케팅,CL4,반도체 8대 공정,직무기초,24,20,80.0,2026-01-23
E929159,메모리사업부,반도체공정기술,CL2,Spotfire 기초,데이터분석,8,7,90.0,2026-03-20
E578558,DS경영지원,회로설계,CL2,Spotfire 데이터함수(Python),데이터분석,16,6,85.0,2026-04-18
E148700,DS경영지원,회로설계,CL2,생성형 AI 활용,AI,6,6,86.0,2026-07-08
E896237,DS경영지원,S/W개발,CL3,반도체 8대 공정,직무기초,24,24,72.0,2026-04-07
E558438,메모리사업부,패키지개발,CL2,생성형 AI 활용,AI,6,5,90.0,2026-04-30
E991940,반도체연구소,SCM/생산관리,CL2,Spotfire 데이터함수(Python),데이터분석,16,7,80.0,2026-02-02
E661475,파운드리사업부,평가및분석,CL3,생성형 AI 활용,AI,6,4,78.0,2026-05-16
E938359,반도체연구소,경영지원,CL2,반도체 8대 공정,직무기초,24,16,99.0,2026-06-09
E874884,파운드리사업부,경영지원,CL2,Spotfire 데이터함수(Python),데이터분석,16,16,95.0,2026-02-04
E805891,메모리사업부,반도체공정기술,CL2,Python 기초,데이터분석,20,20,77.0,2026-07-20
E615823,파운드리사업부,반도체공정기술,CL3,반도체 8대 공정,직무기초,24,15,82.0,2026-05-12
E419124,글로벌인프라총괄,품질보증,CL2,정보보호,필수,2,1,83.0,2026-06-27
E699160,시스템LSI사업부,패키지개발,CL2,정보보호,필수,2,1,,2026-03-17
E388526,반도체연구소,패키지개발,CL3,Python 기초,데이터분석,20,15,64.0,2026-01-20
E135022,메모리사업부,품질보증,CL4,통계적공정관리(SPC),품질,12,12,71.0,2026-07-21
E872562,시스템LSI사업부,설비기술,CL4,생성형 AI 활용,AI,6,6,94.0,2026-03-25
E487159,반도체연구소,반도체공정기술,CL2,Spotfire 데이터함수(Python),데이터분석,16,8,85.0,2026-02-24
E480888,반도체연구소,경영지원,CL2,Python 기초,데이터분석,20,8,,2026-07-15
E665475,메모리사업부,경영지원,CL3,Spotfire 데이터함수(Python),데이터분석,16,9,73.0,2026-04-23
E997558,시스템LSI사업부,회로설계,CL3,통계적공정관리(SPC),품질,12,10,95.0,2026-02-15
E661165,글로벌인프라총괄,설비기술,CL3,생성형 AI 활용,AI,6,6,,2026-02-23
E466809,반도체연구소,패키지개발,CL3,통계적공정관리(SPC),품질,12,10,,2026-06-27
E345942,글로벌인프라총괄,SCM/생산관리,CL3,생성형 AI 활용,AI,6,2,70.0,2026-07-17
E144120,파운드리사업부,경영지원,CL3,반도체 8대 공정,직무기초,24,21,96.0,2026-01-30
E186734,파운드리사업부,반도체공정기술,CL3,정보보호,필수,2,1,68.0,2026-02-11
E238642,DS경영지원,패키지개발,CL4,반도체 8대 공정,직무기초,24,19,,2026-02-28
E901438,파운드리사업부,평가및분석,CL2,반도체 8대 공정,직무기초,24,16,65.0,2026-03-19
E175189,시스템LSI사업부,반도체공정기술,CL3,정보보호,필수,2,1,75.0,2026-01-30
E356513,파운드리사업부,SCM/생산관리,CL2,정보보호,필수,2,1,77.0,2026-01-19
E914643,파운드리사업부,평가및분석,CL3,Spotfire 데이터함수(Python),데이터분석,16,12,,2026-02-04
E883053,파운드리사업부,SCM/생산관리,CL4,Python 기초,데이터분석,20,14,81.0,2026-02-15
E487831,글로벌인프라총괄,SCM/생산관리,CL3,Spotfire 데이터함수(Python),데이터분석,16,11,83.0,2026-04-02
E759087,시스템LSI사업부,반도체공정기술,CL2,통계적공정관리(SPC),품질,12,10,109.0,2026-03-01
E849807,시스템LSI사업부,S/W개발,CL2,Spotfire 데이터함수(Python),데이터분석,16,11,,2026-03-29
E468746,시스템LSI사업부,설비기술,CL3,생성형 AI 활용,AI,6,2,67.0,2026-06-06
E930439,파운드리사업부,패키지개발,CL2,반도체 8대 공정,직무기초,24,21,75.0,2026-04-28
E726199,메모리사업부,S/W개발,CL2,통계적공정관리(SPC),품질,12,5,77.0,2026-07-05
E638962,DS경영지원,회로설계,CL3,통계적공정관리(SPC),품질,12,7,,2026-02-25
E254218,시스템LSI사업부,경영지원,CL4,Spotfire 데이터함수(Python),데이터분석,16,13,81.0,2026-07-16
E825559,반도체연구소,회로설계,CL2,생성형 AI 활용,AI,6,5,86.0,2026-03-25
E642671,시스템LSI사업부,품질보증,CL2,정보보호,필수,2,1,62.0,2026-06-20
E947664,파운드리사업부,SCM/생산관리,CL3,통계적공정관리(SPC),품질,12,7,,2026-02-19
E726137,글로벌인프라총괄,패키지개발,CL4,정보보호,필수,2,1,84.0,2026-03-19
E188459,DS경영지원,회로설계,CL2,Spotfire 기초,데이터분석,8,6,109.0,2026-03-12
E179489,파운드리사업부,평가및분석,CL2,Spotfire 기초,데이터분석,8,7,93.0,2026-05-22
E911693,메모리사업부,SCM/생산관리,CL3,Python 기초,데이터분석,20,16,68.0,2026-01-14
E759663,시스템LSI사업부,설비기술,CL2,Spotfire 데이터함수(Python),데이터분석,16,6,104.0,2026-04-02
E999326,메모리사업부,반도체공정기술,CL4,Spotfire 데이터함수(Python),데이터분석,16,5,76.0,2026-04-05
E988559,파운드리사업부,영업마케팅,CL3,Python 기초,데이터분석,20,13,87.0,2026-05-26
E209449,반도체연구소,회로설계,CL3,정보보호,필수,2,1,73.0,2026-06-26
E877575,글로벌인프라총괄,패키지개발,CL3,Spotfire 데이터함수(Python),데이터분석,16,9,87.0,2026-07-21
E773153,글로벌인프라총괄,회로설계,CL2,반도체 8대 공정,직무기초,24,24,67.0,2026-07-14
E603181,시스템LSI사업부,반도체공정기술,CL3,Spotfire 기초,데이터분석,8,5,,2026-06-20
E471251,파운드리사업부,경영지원,CL4,통계적공정관리(SPC),품질,12,6,68.0,2026-04-20
E742464,메모리사업부,평가및분석,CL2,정보보호,필수,2,1,96.0,2026-02-26
E694719,DS경영지원,품질보증,CL2,반도체 8대 공정,직무기초,24,17,91.0,2026-04-11
E570850,DS경영지원,품질보증,CL2,Spotfire 기초,데이터분석,8,5,84.0,2026-06-04
E787338,파운드리사업부,평가및분석,CL3,Python 기초,데이터분석,20,20,91.0,2026-06-02
E682719,반도체연구소,경영지원,CL2,반도체 8대 공정,직무기초,24,11,98.0,2026-03-27
E459191,DS경영지원,반도체공정기술,CL2,정보보호,필수,2,1,90.0,2026-06-19
E355753,메모리사업부,품질보증,CL2,정보보호,필수,2,2,86.0,2026-04-25
E796898,시스템LSI사업부,평가및분석,CL4,Spotfire 데이터함수(Python),데이터분석,16,12,78.0,2026-03-03
E359345,반도체연구소,SCM/생산관리,CL3,Spotfire 데이터함수(Python),데이터분석,16,5,79.0,2026-01-26
E509783,글로벌인프라총괄,S/W개발,CL4,통계적공정관리(SPC),품질,12,9,97.0,2026-03-25
E477924,시스템LSI사업부,설비기술,CL2,정보보호,필수,2,2,87.0,2026-03-19
E490847,시스템LSI사업부,경영지원,CL3,정보보호,필수,2,1,88.0,2026-07-02
E536707,파운드리사업부,영업마케팅,CL3,통계적공정관리(SPC),품질,12,10,88.0,2026-06-29
E697478,DS경영지원,품질보증,CL3,통계적공정관리(SPC),품질,12,10,94.0,2026-07-05
E330047,파운드리사업부,회로설계,CL2,생성형 AI 활용,AI,6,6,76.0,2026-01-07
E110853,반도체연구소,품질보증,CL4,통계적공정관리(SPC),품질,12,9,,2026-01-08
E569862,DS경영지원,반도체공정기술,CL3,Python 기초,데이터분석,20,20,81.0,2026-04-08
E950372,DS경영지원,S/W개발,CL2,정보보호,필수,2,1,105.0,2026-06-19
E641081,반도체연구소,설비기술,CL3,Python 기초,데이터분석,20,20,88.0,2026-04-28
E458569,시스템LSI사업부,경영지원,CL2,Python 기초,데이터분석,20,13,,2026-04-02
E912302,글로벌인프라총괄,경영지원,CL2,통계적공정관리(SPC),품질,12,12,98.0,2026-05-04
E306210,반도체연구소,S/W개발,CL3,Python 기초,데이터분석,20,12,96.0,2026-03-08
E455872,글로벌인프라총괄,경영지원,CL3,반도체 8대 공정,직무기초,24,24,,2026-05-23
E758129,파운드리사업부,패키지개발,CL2,통계적공정관리(SPC),품질,12,6,94.0,2026-02-07
E296536,반도체연구소,패키지개발,CL2,반도체 8대 공정,직무기초,24,20,81.0,2026-02-19
E460781,DS경영지원,S/W개발,CL3,생성형 AI 활용,AI,6,4,81.0,2026-04-30
E874682,시스템LSI사업부,패키지개발,CL3,Python 기초,데이터분석,20,17,77.0,2026-05-10
E266721,메모리사업부,반도체공정기술,CL3,반도체 8대 공정,직무기초,24,7,77.0,2026-02-20
E496411,파운드리사업부,반도체공정기술,CL3,Spotfire 데이터함수(Python),데이터분석,16,12,87.0,2026-04-24
E322154,DS경영지원,회로설계,CL2,Spotfire 기초,데이터분석,8,8,99.0,2026-06-17
E675180,반도체연구소,회로설계,CL3,생성형 AI 활용,AI,6,5,81.0,2026-03-12
E910789,파운드리사업부,회로설계,CL2,Spotfire 기초,데이터분석,8,5,73.0,2026-03-12
E492549,메모리사업부,평가및분석,CL2,Spotfire 기초,데이터분석,8,7,77.0,2026-02-16
E916010,DS경영지원,반도체공정기술,CL2,Spotfire 데이터함수(Python),데이터분석,16,7,85.0,2026-05-15
E201478,파운드리사업부,반도체공정기술,CL3,반도체 8대 공정,직무기초,24,20,79.0,2026-06-11
E354595,DS경영지원,패키지개발,CL3,반도체 8대 공정,직무기초,24,20,74.0,2026-03-17
