LOT_ID,JOIN_ID,PRODUCT,LINE,PRIORITY,PLAN_QTY,START_TIME,OWNER_DEPT
L26000,L26000,D1Z-DDR5-16G,P2,LOW,25,2026-03-04 04:11:00,시스템LSI개발
L26001,L26001,V8-NAND-1Tb,P3,NORMAL,25,2026-03-05 09:14:00,시스템LSI개발
L26002,L26002,D1B-DDR5-24G,P2,NORMAL,12,2026-03-08 18:07:00,시스템LSI개발
L26003,L26003,LSI-ISOCELL-HP2,P3,NORMAL,25,2026-03-03 03:08:00,시스템LSI개발
L26004,L26004,V8-NAND-1Tb,H1,NORMAL,25,2026-03-08 04:10:00,메모리제조기술
L26005,L26005,D1B-DDR5-24G,P2,NORMAL,24,2026-03-05 19:51:00,파운드리제조
L26006,L26006,V9-NAND-2Tb,P3,NORMAL,24,2026-03-08 22:05:00,파운드리제조
L26007,L26007,D1B-DDR5-24G,P3,NORMAL,24,2026-03-08 05:55:00,파운드리제조
L26008,L26008,V9-NAND-2Tb,P1,NORMAL,12,2026-03-06 10:29:00,메모리공정개발
L26009,L26009,V8-NAND-1Tb,H1,NORMAL,25,2026-03-05 10:10:00,시스템LSI개발
L26010,L26010,D1Z-DDR5-16G,H1,NORMAL,12,2026-03-07 10:32:00,메모리제조기술
L26011,L26011,LSI-ISOCELL-HP2,P1,NORMAL,12,2026-03-03 10:52:00,메모리공정개발
L26012,L26012,V8-NAND-1Tb,P3,NORMAL,25,2026-03-06 00:04:00,메모리제조기술
L26013,L26013,V9-NAND-2Tb,P2,LOW,25,2026-03-03 10:39:00,메모리공정개발
L26014,L26014,V8-NAND-1Tb,P3,HOT,25,2026-03-06 03:55:00,시스템LSI개발
L26015,L26015,LSI-ISOCELL-HP2,P1,NORMAL,25,2026-03-07 11:11:00,메모리공정개발
L26016,L26016,LSI-ISOCELL-HP2,P1,NORMAL,25,2026-03-06 07:47:00,시스템LSI개발
L26017,L26017,V8-NAND-1Tb,P3,NORMAL,25,2026-03-05 14:12:00,메모리제조기술
L26018,L26018,D1Z-DDR5-16G,H1,NORMAL,25,2026-03-07 12:40:00,메모리제조기술
L26019,L26019,D1Z-DDR5-16G,P3,NORMAL,25,2026-03-07 16:38:00,시스템LSI개발
L26020,L26020,V8-NAND-1Tb,H1,LOW,25,2026-03-02 12:00:00,메모리공정개발
L26021,L26021,V8-NAND-1Tb,P1,NORMAL,25,2026-03-02 19:53:00,메모리제조기술
L26022,L26022,LSI-ISOCELL-HP2,H1,NORMAL,25,2026-03-06 01:09:00,메모리제조기술
L26023,L26023,D1B-DDR5-24G,P1,NORMAL,25,2026-03-05 14:26:00,파운드리제조
L26024,L26024,D1Z-DDR5-16G,P3,NORMAL,25,2026-03-05 03:19:00,메모리공정개발
L26025,L26025,D1Z-DDR5-16G,P2,NORMAL,25,2026-03-04 13:28:00,메모리공정개발
L26026,L26026,LSI-ISOCELL-HP2,P3,NORMAL,12,2026-03-06 08:02:00,파운드리제조
L26027,L26027,V9-NAND-2Tb,H1,NORMAL,24,2026-03-03 04:28:00,파운드리제조
