ORDER_ID,ORDER_DATE,CUSTOMER,REGION,PRODUCT_FAMILY,QTY,UNIT_PRICE_USD,AMOUNT_USD,PROMISE_DATE,SHIP_DATE,STATUS
SO100000,2025-07-15,CUST_027,Korea,D1Z-DDR5-16G,3185,36.14,115105.9,2025-08-05,2025-08-14,SHIPPED
SO100001,2025-08-23,CUST_009,Korea,D1B-DDR5-24G,3577,7.57,27077.89,2025-09-13,2025-09-11,SHIPPED
SO100002,2025-09-06,CUST_018,Taiwan,LSI-ISOCELL-HP2,1806,18.28,33013.68,2025-09-27,2025-09-18,SHIPPED
SO100003,2025-07-10,CUST_009,Taiwan,D1Z-DDR5-16G,3600,22.62,81432.0,2025-07-31,2025-07-26,SHIPPED
SO100004,2026-03-28,CUST_030,China,V8-NAND-1Tb,1745,39.45,68840.25,2026-04-18,2026-04-05,SHIPPED
SO100005,2026-04-18,CUST_002,USA,D1Z-DDR5-16G,3984,12.65,50397.6,2026-05-09,2026-04-20,SHIPPED
SO100006,2026-02-05,CUST_003,Korea,D1B-DDR5-24G,1355,40.18,54443.9,2026-02-26,2026-02-28,SHIPPED
SO100007,2026-01-02,CUST_024,Japan,V8-NAND-1Tb,793,23.2,18397.6,2026-01-23,,CANCELLED
SO100008,2026-01-25,CUST_040,Korea,D1Z-DDR5-16G,4340,11.07,48043.8,2026-02-15,2026-03-08,SHIPPED
SO100009,2026-01-27,CUST_008,USA,LSI-ISOCELL-HP2,2847,10.61,30206.67,2026-02-17,2026-03-04,SHIPPED
SO100010,2025-08-05,CUST_031,USA,D1B-DDR5-24G,2636,10.94,28837.84,2025-08-26,2025-08-23,SHIPPED
SO100011,2026-05-20,CUST_014,Japan,LSI-ISOCELL-HP2,1506,39.14,58944.84,2026-06-10,2026-06-18,SHIPPED
SO100012,2026-02-14,CUST_023,Taiwan,V8-NAND-1Tb,1786,37.69,67314.34,2026-03-07,,OPEN
SO100013,2025-10-09,CUST_012,USA,LSI-ISOCELL-HP2,5695,10.19,58032.05,2025-10-30,,OPEN
SO100014,2025-12-15,CUST_021,China,D1Z-DDR5-16G,3221,36.61,117920.81,2026-01-05,2026-01-06,SHIPPED
SO100015,2026-04-19,CUST_032,Europe,V9-NAND-2Tb,1788,26.67,47685.96,2026-05-10,2026-05-12,SHIPPED
SO100016,2026-07-28,CUST_029,China,LSI-ISOCELL-HP2,1362,18.94,25796.28,2026-08-18,2026-08-31,SHIPPED
SO100017,2026-02-04,CUST_013,China,D1B-DDR5-24G,2799,1.98,5542.02,2026-02-25,2026-02-21,SHIPPED
SO100018,2025-09-20,CUST_022,Korea,D1B-DDR5-24G,566,34.04,19266.64,2025-10-11,,OPEN
SO100019,2025-12-03,CUST_019,China,V8-NAND-1Tb,2277,2.41,5487.57,2025-12-24,2026-01-02,SHIPPED
SO100020,2026-07-30,CUST_023,China,V9-NAND-2Tb,3954,37.87,149737.98,2026-08-20,2026-08-12,SHIPPED
SO100021,2025-07-30,CUST_008,USA,V9-NAND-2Tb,2771,3.23,8950.33,2025-08-20,2025-09-03,SHIPPED
SO100022,2025-10-06,CUST_030,China,D1Z-DDR5-16G,6239,10.27,64074.53,2025-10-27,2025-10-17,SHIPPED
SO100023,2025-10-24,CUST_018,Europe,D1Z-DDR5-16G,1,22.55,22.55,2025-11-14,,OPEN
SO100024,2025-08-03,CUST_010,Japan,V8-NAND-1Tb,1758,33.17,58312.86,2025-08-24,2025-09-04,SHIPPED
SO100025,2025-11-01,CUST_019,Taiwan,D1Z-DDR5-16G,1303,41.08,53527.24,2025-11-22,2025-12-03,SHIPPED
SO100026,2025-09-20,CUST_034,Japan,D1B-DDR5-24G,3966,26.27,104186.82,2025-10-11,2025-10-05,SHIPPED
SO100027,2026-03-07,CUST_003,Japan,LSI-ISOCELL-HP2,1588,34.86,55357.68,2026-03-28,2026-03-08,SHIPPED
SO100028,2026-02-24,CUST_025,China,V8-NAND-1Tb,1766,17.01,30039.66,2026-03-17,2026-03-07,SHIPPED
SO100029,2026-02-06,CUST_035,Taiwan,D1Z-DDR5-16G,390,35.83,13973.7,2026-02-27,2026-03-01,SHIPPED
SO100030,2025-12-26,CUST_029,USA,V9-NAND-2Tb,3495,14.56,50887.2,2026-01-16,2026-01-15,SHIPPED
SO100031,2026-03-17,CUST_014,Korea,V8-NAND-1Tb,1625,7.44,12090.0,2026-04-07,2026-04-05,SHIPPED
SO100032,2026-02-09,CUST_013,Taiwan,D1Z-DDR5-16G,1712,5.92,10135.04,2026-03-02,2026-03-09,SHIPPED
SO100033,2026-05-03,CUST_003,Europe,D1B-DDR5-24G,1924,23.43,45079.32,2026-05-24,,OPEN
