LOT_ID,WAFER_NO,PRODUCT,LINE,TOTAL_DIE,GOOD_DIE,YIELD_PCT,MAIN_FAIL_TYPE,TEST_DATE
L26000,1,D1Z-DDR5-16G,P2,1200,1059,88.27,THIN_FILM,2026-03-14
L26000,2,D1Z-DDR5-16G,P2,1200,1088,90.7,BRIDGE,2026-03-07
L26000,3,D1Z-DDR5-16G,P2,1200,1113,92.77,BRIDGE,2026-03-05
L26000,4,D1Z-DDR5-16G,P2,1200,1060,88.35,BRIDGE,2026-03-09
L26000,5,D1Z-DDR5-16G,P2,1200,1117,93.12,PARTICLE,2026-03-08
L26000,6,D1Z-DDR5-16G,P2,1200,1095,91.31,EDGE_CHIP,2026-03-05
L26000,7,D1Z-DDR5-16G,P2,1200,1080,90.0,PARTICLE,2026-03-13
L26000,8,D1Z-DDR5-16G,P2,1200,1094,91.2,EDGE_CHIP,2026-03-09
L26000,9,D1Z-DDR5-16G,P2,1200,999,83.33,BRIDGE,2026-03-06
L26000,10,D1Z-DDR5-16G,P2,1200,1096,91.33,SCRATCH,2026-03-05
L26000,11,D1Z-DDR5-16G,P2,1200,1065,88.79,OPEN,2026-03-13
L26000,12,D1Z-DDR5-16G,P2,1200,1094,91.21,BRIDGE,2026-03-06
L26000,13,D1Z-DDR5-16G,P2,1200,1067,88.99,PARTICLE,2026-03-09
L26000,14,D1Z-DDR5-16G,P2,1200,1108,92.38,ETC,2026-03-08
L26000,15,D1Z-DDR5-16G,P2,1200,1073,89.49,MISALIGN,2026-03-09
L26000,16,D1Z-DDR5-16G,P2,1200,1119,93.26,SCRATCH,2026-03-08
L26000,17,D1Z-DDR5-16G,P2,1200,1101,91.78,THIN_FILM,2026-03-10
L26000,18,D1Z-DDR5-16G,P2,1200,1102,91.9,MISALIGN,2026-03-10
L26000,19,D1Z-DDR5-16G,P2,1200,1093,91.12,BRIDGE,2026-03-06
L26000,20,D1Z-DDR5-16G,P2,1200,1082,90.17,OPEN,2026-03-05
L26000,21,D1Z-DDR5-16G,P2,1200,1112,92.72,BRIDGE,2026-03-08
L26000,22,D1Z-DDR5-16G,P2,1200,1134,94.56,EDGE_CHIP,2026-03-05
